FileName,GCPLocation
DSC08876.JPG,[[4164.902    171.14754]]
DJI_0422.JPG,[[2609.2104 2253.8484][ 507.13623 1613.8837 ]]
DJI_0422.JPG,[[ 507.13623 1613.8837 ]]
DJI_0083.JPG,[[2458.4124 2062.5876][2335.0178   573.03754]]
DJI_0083.JPG,[[2335.0178   573.03754]]
DSC01453.JPG,[[3128.804  1170.9548]]
M1_F1.3_0405.JPG,[[ 982.9792 2688.448 ][ 665.07776 1486.0809 ]]
M1_F1.3_0405.JPG,[[ 665.07776 1486.0809 ]]
DJI_0617.JPG,[[3780.3523     33.220127]]
DJI_0036.JPG,[[1742.4098 2597.1355]]
DJI_0616.JPG,[[ 254.71074 1455.9338 ]]
DJI_0086.JPG,[[2528.279  2445.4182][1474.6449 1496.343 ][2360.0862   777.64453][2284.9143   124.52857]]
DJI_0086.JPG,[[1474.6449 1496.343 ][2360.0862   777.64453][2284.9143   124.52857]]
DJI_0086.JPG,[[2360.0862   777.64453][2284.9143   124.52857]]
DJI_0086.JPG,[[2284.9143   124.52857]]
